,-1,1,accuracy,macro avg,weighted avg
precision,0.775,0.8555555555555555,0.8354166666666667,0.8152777777777778,0.8312210648148147
recall,0.6413793103448275,0.9194029850746268,0.8354166666666667,0.7803911477097272,0.8354166666666667
f1-score,0.70188679245283,0.8863309352517986,0.8354166666666667,0.7941088638523144,0.8306134337812768
support,145.0,335.0,0.8354166666666667,480.0,480.0
