,0,1,accuracy,macro avg,weighted avg
precision,0.7887323943661971,0.7542997542997543,0.7594142259414226,0.7715160743329756,0.7655371849490537
recall,0.358974358974359,0.953416149068323,0.7594142259414226,0.6561952540213409,0.7594142259414226
f1-score,0.49339207048458156,0.8422496570644719,0.7594142259414226,0.6678208637745267,0.7283965534944659
support,156.0,322.0,0.7594142259414226,478.0,478.0
